2024-07-01 22:00:24 | INFO      | __main__:create_index:37 - ------ 删除索引响应：{'acknowledged': True} ------
2024-07-01 22:00:24 | INFO      | __main__:create_index:45 - ------ 医疗索引创建完毕 ------
2024-07-01 22:01:16 | INFO      | __main__:create_index:37 - ------ 删除索引响应：{'acknowledged': True} ------
2024-07-01 22:01:16 | INFO      | __main__:create_index:45 - ------ 医疗索引创建完毕 ------
2024-07-01 22:07:31 | INFO      | __main__:search:26 - 用户输入的文本: 我最近长胖了，这让我有些尴尬，是否可以改善这一状况？
2024-07-01 22:07:32 | INFO      | __main__:search:35 - 匹配的回答：问题分析：根据你提供的情况，应该是比较肥胖的情况，可能是因为你的饮食结构不合理，平时锻炼少造成的。意见建议：建议你调整饮食结构，吃粗粮，蔬菜，水果，坚持进行一定强度的体育锻炼，或者是去健身房，进行减肥，就可以变小，主要是控制饮食，体育锻炼
2024-07-01 22:08:39 | INFO      | __main__:search:26 - 用户输入的文本: 我最近长胖了，这让我有些尴尬，是否可以改善这一状况？
2024-07-01 22:08:39 | INFO      | __main__:search:35 - 匹配的回答：问题分析：根据你提供的情况，应该是比较肥胖的情况，可能是因为你的饮食结构不合理，平时锻炼少造成的。意见建议：建议你调整饮食结构，吃粗粮，蔬菜，水果，坚持进行一定强度的体育锻炼，或者是去健身房，进行减肥，就可以变小，主要是控制饮食，体育锻炼
2024-07-01 22:10:19 | INFO      | __main__:search:26 - 用户输入的文本: 我最近长胖了，这让 我有些尴尬，是否可以改善这一状况？
2024-07-01 22:10:20 | INFO      | __main__:search:35 - 匹配的回答：问题分析：根据你提供的情况，应该是比较肥胖的情况，可能是因为你的饮食结构不合理，平时锻炼少造成的。意见建议：建议你调整饮食结构，吃粗粮，蔬菜，水果，坚持进行一定强度的体育锻炼，或者是去健身房，进行减肥，就可以变小，主要是控制饮食，体育锻炼
2024-07-01 22:10:39 | INFO      | __main__:search:26 - 用户输入的文本: 为什么老瞌睡，而且睡醒了还瞌睡
2024-07-01 22:10:39 | INFO      | __main__:search:35 - 匹配的回答：睡眠时间过长与睡眠不足一样，都可导致神疲、体倦、代谢率降低,睡眠不宜过长，睡的时间过长后，心脏的跳动便会减慢，新陈代谢率亦会降得很低，肌肉组织松弛下来，久而久之，人就会变得懒惰、软弱无力起来，甚至智力也会随之下降。因此，人的睡眠时间不宜过长，成年人昼夜78小时也就足够了，如果想用增加睡眠时间来获得健康，那将会适得其反，增加疾病，缩短寿命。
2024-07-01 22:12:44 | INFO      | __main__:search:26 - 用户输入的文本: 为什么老瞌睡，而且睡醒了还瞌睡
2024-07-01 22:12:44 | INFO      | __main__:search:35 - 匹配的回答：睡眠时间过长与睡眠不足一样，都可导致神疲、体倦、代谢率降低,睡眠不宜过长，睡的时间过长后，心脏的跳动便会减慢，新陈代谢率亦会降得很低，肌肉组织松弛下来，久而久之，人就会变得懒惰、软弱无力起来，甚至智力也会随之下降。因此，人的睡眠时间不宜过长，成年人昼夜78小时也就足够了，如果想用增加睡眠时间来获得健康，那将会适得其反，增加疾病，缩短寿命。
2024-07-01 22:13:44 | INFO      | __main__:search:26 - 用户输入的文本: 为什么老瞌睡，而且睡醒了还瞌睡
2024-07-01 22:15:40 | INFO      | __main__:search:35 - 匹配的回答：睡眠时间过长与睡眠不足一样，都可导致神疲、体倦、代谢率降低,睡眠不宜过长，睡的时间过长后，心脏的跳动便会减慢，新陈代谢率亦会降得很低，肌肉组织松弛下来，久而久之，人就会变得懒惰、软弱无力起来，甚至智力也会随之下降。因此，人的睡眠时间不宜过长，成年人昼夜78小时也就足够了，如果想用增加睡眠时间来获得健康，那将会适得其反，增加疾病，缩短寿命。
2024-07-01 22:20:47 | INFO      | __main__:search:26 - 用户输入的文本: 如何缓解抽烟的嘴巴臭
2024-07-01 22:20:53 | INFO      | __main__:search:35 - 匹配的回答：多发性神经炎多为功能性神经损害，治疗恢复在于及早的对受累神经进行充分的血供营养，同时兴奋激活神经，营养神经才能使恢复神经功能获得早日康复。提示，一但迟发缺血性神经变性病变。恢复无望而且病情还会加重。需指导请发病检资料为你指导。。。。目前比较科学的治疗方法是神经组织修复疗法，安全性好。与传统治疗相比，""神经组织修复疗法""治疗具有安全、无明显毒副作用的优点。
